,losses/total_loss,losses/reg_loss,losses/cls_loss,lr,metrics/voc_2007_test/mAP,metrics/voc_2007_test/aeroplane,metrics/voc_2007_test/bicycle,metrics/voc_2007_test/bird,metrics/voc_2007_test/boat,metrics/voc_2007_test/bottle,metrics/voc_2007_test/bus,metrics/voc_2007_test/car,metrics/voc_2007_test/cat,metrics/voc_2007_test/chair,metrics/voc_2007_test/cow,metrics/voc_2007_test/diningtable,metrics/voc_2007_test/dog,metrics/voc_2007_test/horse,metrics/voc_2007_test/motorbike,metrics/voc_2007_test/person,metrics/voc_2007_test/pottedplant,metrics/voc_2007_test/sheep,metrics/voc_2007_test/sofa,metrics/voc_2007_test/train,metrics/voc_2007_test/tvmonitor
506,3.899103879928589,1.1280646324157715,2.7710392475128174,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
507,3.94230318069458,1.1265991926193237,2.815703868865967,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
508,3.818112373352051,1.3318995237350464,2.486212968826294,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
509,4.204240798950195,1.2748425006866455,2.929398536682129,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
510,4.063803672790527,1.2047104835510254,2.859092950820923,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
511,3.9038026332855225,1.3122503757476807,2.591552257537842,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
512,4.341353893280029,1.401813268661499,2.9395406246185303,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
513,4.509809970855713,1.3874095678329468,3.1224002838134766,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
514,3.661876678466797,1.1114192008972168,2.55045747756958,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
515,4.200136661529541,1.296718716621399,2.9034178256988525,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
516,3.912013530731201,1.2750309705734253,2.6369824409484863,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
517,3.9143171310424805,1.1438236236572266,2.770493507385254,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
518,3.8054757118225098,1.2287124395370483,2.576763153076172,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
519,4.058984279632568,1.281400203704834,2.7775840759277344,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
520,3.9878430366516113,1.3657337427139282,2.6221094131469727,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
521,3.843320369720459,1.0326411724090576,2.8106791973114014,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
522,4.293590068817139,1.3647934198379517,2.9287965297698975,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
523,3.678986072540283,1.1506179571151733,2.5283682346343994,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
524,3.9332761764526367,1.2930086851119995,2.6402676105499268,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
525,3.6165037155151367,1.2005506753921509,2.4159531593322754,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
526,4.084304332733154,1.2883665561676025,2.7959377765655518,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
527,3.936511516571045,1.1175225973129272,2.8189890384674072,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
528,4.104707717895508,1.260563850402832,2.8441436290740967,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
529,3.7005298137664795,1.1572799682617188,2.5432498455047607,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
530,4.198645114898682,1.2899082899093628,2.9087369441986084,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
531,4.6318488121032715,1.6015875339508057,3.030261278152466,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
532,3.8524932861328125,1.1787103414535522,2.67378306388855,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
533,3.715763568878174,1.1541794538497925,2.561584234237671,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
534,3.8039815425872803,1.2718324661254883,2.532149076461792,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
535,3.920808792114258,1.097612738609314,2.8231961727142334,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
536,4.341254711151123,1.337476372718811,3.0037782192230225,0.0010000000474974513,,,,,,,,,,,,,,,,,,,,,
